Date/Time,Location,Sunlight,Magnetic field strength,Temperature,Humidity
2022-04-16 03:34:41.784609,IERS2010 latitude -20.5117 N longitude 8.7836 E elevation 420287.8 m,In darkness,"x: 23.41657066345215, y: -1.4791653156280518, z: -8.082466125488281",34.9914°C,29.0191%
2022-04-16 03:34:56.866598,IERS2010 latitude -19.7767 N longitude 9.4051 E elevation 420006.7 m,In darkness,"x: 23.17401123046875, y: -1.5745916366577148, z: -8.275123596191406",34.8847°C,29.1721%
2022-04-16 03:35:11.944962,IERS2010 latitude -19.0391 N longitude 10.0204 E elevation 419729.5 m,In darkness,"x: 22.88795280456543, y: -1.7989369630813599, z: -8.313387870788574",34.9914°C,29.1905%
2022-04-16 03:35:27.039029,IERS2010 latitude -18.2982 N longitude 10.6303 E elevation 419456.2 m,In darkness,"x: 22.609233856201172, y: -1.9095155000686646, z: -8.51012134552002",34.9558°C,28.7499%
2022-04-16 03:35:42.124972,IERS2010 latitude -17.5553 N longitude 11.2343 E elevation 419187.2 m,In darkness,"x: 22.2353572845459, y: -1.946463942527771, z: -8.766308784484863",34.9736°C,29.1752%
2022-04-16 03:35:57.264937,IERS2010 latitude -16.8073 N longitude 11.8350 E elevation 418921.8 m,In darkness,"x: 21.934768676757812, y: -2.1089837551116943, z: -9.039042472839355",34.9203°C,28.9488%
2022-04-16 03:36:12.345011,IERS2010 latitude -16.0602 N longitude 12.4283 E elevation 418662.1 m,In darkness,"x: 21.743432998657227, y: -2.268234968185425, z: -9.514808654785156",34.9025°C,28.9151%
2022-04-16 03:36:27.436536,IERS2010 latitude -15.3103 N longitude 13.0171 E elevation 418407.1 m,In darkness,"x: 21.407310485839844, y: -2.158498525619507, z: -9.822505950927734",34.9914°C,29.2639%
2022-04-16 03:36:42.529052,IERS2010 latitude -14.5585 N longitude 13.6014 E elevation 418157.1 m,In darkness,"x: 21.07134437561035, y: -2.1583080291748047, z: -9.913657188415527",34.938°C,29.625%
2022-04-16 03:36:57.626656,IERS2010 latitude -13.8045 N longitude 14.1815 E elevation 417912.3 m,In darkness,"x: 20.731475830078125, y: -2.1037662029266357, z: -9.855530738830566",34.938°C,28.1472%
